RA,ano,fase,idade,genero,ano_ingresso,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,nota_mat,nota_port,nota_ing,defasagem,atingiu_pv,indicado_bolsa,em_risco_defasagem,categoria_defasagem,anos_na_pm
RA-1308,2024,0,9.0,Feminino,2024,6.876997101400001,Agata,10.0,7.445652174,7.51,6.0,7.5,5.933333333,5.0,8.0,4.0,,-1,,,0,Defasagem leve,0.0
RA-1309,2024,0,7.0,Feminino,2024,8.379199999899999,Topazio,9.002,9.1666666665,7.51,7.5,7.5,8.223333333,10.0,8.0,7.0,,0,,,0,Adequado,0.0
RA-131,2022,4,15.0,Feminino,2016,7.174,Ametista,8.8,9.0,5.6,5.6,,7.75,5.0,6.0,6.5,4.2,-1,0.0,1.0,0,Defasagem leve,6.0
RA-131,2023,5,16.0,Feminino,2016,5.952358333,Quartzo,8.3,7.8,5.0,2.2,7.65625,6.8,5.0,0.0,3.0,3.5,-1,,,0,Defasagem leve,7.0
RA-131,2024,5,17.0,Feminino,2021,7.263155555633333,Ametista,8.751,9.444444444666667,7.51,5.0,7.708333333,7.386666667,5.0,4.0,5.0,6.0,-2,,,1,Defasagem moderada/severa,3.0
RA-1310,2024,0,7.0,Feminino,2024,8.3907833334,Topazio,8.502,9.375,2.51,10.0,7.8125,8.166666667,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-1311,2024,0,8.0,Masculino,2024,6.4118666668,Agata,9.002,9.166666667,2.51,0.0,7.5,8.386666667,10.0,0.0,0.0,,0,,,0,Adequado,0.0
RA-1312,2024,0,9.0,Masculino,2024,7.510200000000001,Ametista,10.0,8.333333333,7.51,6.5,6.25,8.336666667,5.0,8.0,5.0,,-1,,,0,Defasagem leve,0.0
RA-1313,2024,0,8.0,Masculino,2024,8.0155333334,Topazio,9.502,8.125,7.51,6.25,7.5,8.446666667,10.0,4.0,8.5,,0,,,0,Adequado,0.0
RA-1314,2024,0,7.0,Feminino,2024,8.239799999999999,Topazio,7.418,8.541666667,7.51,9.0,7.5,7.443333333,10.0,8.0,10.0,,0,,,0,Adequado,0.0
RA-1315,2024,0,7.0,Masculino,2024,8.3510666667,Topazio,6.834,8.3333333335,7.51,9.0,7.5,8.5,10.0,10.0,8.0,,0,,,0,Adequado,0.0
RA-1316,2024,0,9.0,Feminino,2024,7.59291123,Ametista,9.002,8.20855615,7.51,7.75,7.5,7.5,5.0,9.0,6.5,,-1,,,0,Defasagem leve,0.0
RA-1317,2024,0,9.0,Feminino,2024,7.665638502700001,Ametista,7.502,7.0721925135,7.51,10.0,7.5,7.5,5.0,10.0,10.0,,-1,,,0,Defasagem leve,0.0
RA-1318,2024,0,8.0,Feminino,2024,6.823383155100001,Agata,8.502,7.6871657755000005,7.51,5.0,7.1875,7.33,5.0,4.0,6.0,,-1,,,0,Defasagem leve,0.0
RA-1319,2024,0,9.0,Masculino,2024,7.201526797300001,Ametista,8.502,5.7516339865,7.51,8.5,7.5,7.5,5.0,10.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-132,2022,4,14.0,Feminino,2019,8.355,Topazio,10.0,8.8,5.6,7.7,,8.458,10.0,6.5,7.5,9.1,0,1.0,0.0,0,Adequado,3.0
RA-132,2023,5,15.0,Feminino,2019,7.350625,Ametista,7.5,8.7,2.52,6.5,7.65625,7.715,10.0,6.3,6.5,6.7,0,,,0,Adequado,4.0
RA-132,2024,6,16.0,Feminino,2021,8.4746321428,Topazio,8.334,8.380952380666665,7.51,8.333333333333334,8.59375,8.44,10.0,7.0,8.0,10.0,0,,,0,Adequado,3.0
RA-1320,2024,0,10.0,Masculino,2024,7.8845333333,Ametista,9.002,9.1666666665,7.51,8.25,7.5,7.5,5.0,9.0,7.5,,-1,,,0,Defasagem leve,0.0
RA-1321,2024,0,7.0,Masculino,2024,7.95295,Ametista,9.002,8.875,6.885,8.75,6.5625,5.915,10.0,10.0,7.5,,0,,,0,Adequado,0.0
RA-1322,2024,0,8.0,Feminino,2024,8.47795,Topazio,9.502,9.0,7.51,7.5,8.4375,8.165,10.0,8.5,6.5,,0,,,0,Adequado,0.0
RA-1323,2024,0,9.0,Masculino,2024,7.487366666700001,Ametista,10.0,9.0833333335,7.51,7.0,6.875,6.66,5.0,10.0,4.0,,-1,,,0,Defasagem leve,0.0
RA-1324,2024,0,9.0,Masculino,2024,8.332450000000001,Topazio,10.0,10.0,7.51,8.5,7.8125,8.0,5.0,10.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1325,2024,0,8.0,Masculino,2024,8.9824954545,Topazio,9.002,9.5227272725,7.51,10.0,8.4375,7.915,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-1326,2024,0,8.0,Feminino,2024,7.6397833333,Ametista,9.002,9.2916666665,7.51,4.5,7.8125,7.245,10.0,0.0,9.0,,0,,,0,Adequado,0.0
RA-1327,2024,0,7.0,Feminino,2024,8.264116666700001,Topazio,9.002,9.3333333335,7.51,7.5,7.8125,7.325,10.0,10.0,5.0,,0,,,0,Adequado,0.0
RA-1328,2024,0,8.0,Feminino,2024,8.0588666667,Topazio,8.502,8.2083333335,7.51,10.0,7.5,7.83,5.0,10.0,10.0,,-1,,,0,Defasagem leve,0.0
RA-1329,2024,0,8.0,Masculino,2024,7.98945,Ametista,9.502,10.0,7.51,6.5,6.5625,6.66,10.0,10.0,3.0,,0,,,0,Adequado,0.0
RA-133,2022,4,15.0,Feminino,2016,6.875,Agata,7.9,7.1,7.5,5.6,,7.625,5.0,4.7,7.2,5.0,-1,0.0,0.0,0,Defasagem leve,6.0
RA-133,2023,5,16.0,Feminino,2016,6.168416667,Agata,7.5,7.9,2.52,5.3,7.1875,6.505,5.0,5.0,4.3,6.7,-1,,,0,Defasagem leve,7.0
RA-1330,2024,0,8.0,Feminino,2024,8.944616666700002,Topazio,10.0,9.3333333335,7.51,9.5,8.4375,7.915,10.0,10.0,9.0,,0,,,0,Adequado,0.0
RA-1331,2024,0,7.0,Feminino,2024,7.8522833333,Ametista,9.002,7.291666666499999,7.51,7.25,8.4375,7.245,10.0,8.0,6.5,,0,,,0,Adequado,0.0
RA-1332,2024,0,10.0,Masculino,2024,8.1040529412,Topazio,8.502,9.411764706,7.51,8.25,9.375,7.665,5.0,10.0,6.5,,-2,,,1,Defasagem moderada/severa,0.0
RA-1333,2024,0,9.0,Masculino,2024,8.213199999999999,Topazio,7.502,10.0,6.255,9.25,9.375,7.75,5.0,10.0,8.5,,-1,,,0,Defasagem leve,0.0
RA-1334,2024,0,9.0,Masculino,2024,8.350200000000001,Topazio,10.0,10.0,5.625,9.0,9.375,7.75,5.0,10.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1335,2024,0,10.0,Masculino,2024,8.3217,Topazio,9.002,9.75,7.51,8.75,9.375,7.665,5.0,10.0,7.5,,-2,,,1,Defasagem moderada/severa,0.0
RA-1336,2024,0,8.0,Feminino,2024,7.141365631500001,Ametista,9.502,6.2008281575,2.51,9.5,7.5,7.75,5.0,10.0,9.0,,-1,,,0,Defasagem leve,0.0
RA-1337,2024,0,10.0,Masculino,2024,6.015144444400001,Agata,8.002,4.722222222,7.51,6.0,6.875,5.66,5.0,6.0,6.0,,-2,,,1,Defasagem moderada/severa,0.0
RA-1338,2024,0,8.0,Masculino,2024,6.1368428571,Agata,8.002,8.6607142855,7.51,3.0,6.875,5.33,5.0,2.0,4.0,,-1,,,0,Defasagem leve,0.0
RA-1339,2024,0,8.0,Feminino,2024,7.3547,Ametista,8.502,10.0,6.885,8.75,5.0,5.33,5.0,10.0,7.5,,-1,,,0,Defasagem leve,0.0
RA-134,2022,4,15.0,Feminino,2021,6.607,Agata,8.8,6.8,7.5,4.7,,7.375,5.0,4.7,6.8,2.5,-1,0.0,1.0,0,Defasagem leve,1.0
RA-1340,2024,0,8.0,Feminino,2024,8.3422714286,Topazio,9.502,8.392857143,7.51,10.0,5.625,7.0,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-1341,2024,0,9.0,Masculino,2024,7.862906349200001,Ametista,10.0,9.246031746,7.51,10.0,5.625,6.0,5.0,10.0,10.0,,-1,,,0,Defasagem leve,0.0
RA-1342,2024,0,8.0,Masculino,2024,7.8185809524,Ametista,9.502,9.761904762,7.51,9.0,7.5,5.575,5.0,10.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1343,2024,0,7.0,Feminino,2024,8.8262,Topazio,8.002,10.0,7.51,9.75,6.25,8.5,10.0,10.0,9.5,,0,,,0,Adequado,0.0
RA-1344,2024,0,8.0,Feminino,2024,9.3612,Topazio,8.502,10.0,7.51,10.0,8.75,9.425,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-1345,2024,0,9.0,Masculino,2023,7.2340128655,Ametista,8.502,9.4590643275,7.51,6.25,6.25,6.83,5.0,6.0,6.5,,-1,,,0,Defasagem leve,1.0
RA-1346,2024,0,8.0,Masculino,2024,7.3701047619,Ametista,9.502,8.0595238095,7.51,5.5,6.25,6.66,10.0,5.0,6.0,,0,,,0,Adequado,0.0
RA-1347,2024,0,9.0,Masculino,2024,6.153842857100001,Agata,8.502,8.7857142855,2.51,5.0,5.625,6.165,5.0,5.0,5.0,,-1,,,0,Defasagem leve,0.0
RA-1348,2024,0,8.0,Masculino,2024,7.9604662539,Ametista,7.502,8.5913312695,7.51,9.0,8.75,7.83,5.0,10.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1349,2024,0,10.0,Masculino,2024,7.855727777800001,Ametista,8.002,8.388888889,7.51,8.5,8.4375,7.915,5.0,10.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-135,2022,4,15.0,Feminino,2019,7.692,Ametista,8.3,7.8,5.6,8.6,,8.583,5.0,8.0,8.2,9.5,-1,1.0,1.0,0,Defasagem leve,3.0
RA-1350,2024,0,10.0,Feminino,2024,8.335450000000002,Topazio,8.502,10.0,8.755,8.5,8.4375,7.83,5.0,10.0,7.0,,-2,,,1,Defasagem moderada/severa,0.0
RA-1351,2024,0,9.0,Masculino,2024,8.1861038462,Topazio,9.002,9.230769231,8.13,8.75,8.4375,7.665,5.0,10.0,7.5,,-1,,,0,Defasagem leve,0.0
RA-1352,2024,0,9.0,Masculino,2024,8.289950000000001,Topazio,10.0,9.5,8.13,8.5,8.4375,7.665,5.0,8.0,9.0,,-1,,,0,Defasagem leve,0.0
RA-1353,2024,0,10.0,Feminino,2024,6.454700000000001,Agata,8.002,9.5,7.51,3.0,6.875,6.08,5.0,3.5,2.5,,-1,,,0,Defasagem leve,0.0
RA-1354,2024,0,10.0,Feminino,2024,7.353427272700001,Ametista,9.502,8.3636363635,7.51,6.0,8.125,7.335,5.0,6.5,5.5,,-1,,,0,Defasagem leve,0.0
RA-1355,2024,0,10.0,Masculino,2024,7.202245454500001,Ametista,10.0,6.5227272725,7.51,7.0,8.125,7.17,5.0,8.0,6.0,,-1,,,0,Defasagem leve,0.0
RA-1356,2024,0,8.0,Feminino,2024,7.8695888889,Ametista,9.002,9.4444444445,7.51,5.5,8.125,7.085,10.0,5.5,5.5,,0,,,0,Adequado,0.0
RA-1357,2024,0,9.0,Masculino,2024,7.1807,Ametista,8.002,7.5,7.51,6.75,8.125,7.335,5.0,8.0,5.5,,-1,,,0,Defasagem leve,0.0
RA-1358,2024,0,7.0,Feminino,2024,6.552990476200001,Agata,9.168,7.380952381,5.01,4.0,6.25,6.17,10.0,4.0,4.0,,0,,,0,Adequado,0.0
RA-1359,2024,0,7.0,Feminino,2024,7.2102,Ametista,8.502,9.0,5.635,6.0,5.625,6.17,10.0,4.0,8.0,,0,,,0,Adequado,0.0
RA-136,2022,4,15.0,Masculino,2019,6.478,Agata,10.0,6.3,7.5,4.6,,6.667,5.0,5.3,5.7,2.8,-1,0.0,0.0,0,Defasagem leve,3.0
RA-1360,2024,0,8.0,Masculino,2024,6.8480623189,Agata,8.502,7.0018115945,7.51,5.0,5.625,6.42,10.0,0.0,10.0,,0,,,0,Adequado,0.0
RA-1361,2024,0,8.0,Feminino,2024,8.738700000000001,Topazio,9.502,9.375,5.635,10.0,7.5,8.0,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-1362,2024,0,7.0,Masculino,2024,7.709200000000001,Ametista,10.0,6.875,5.635,8.5,6.875,6.915,10.0,8.0,9.0,,0,,,0,Adequado,0.0
RA-1363,2024,0,7.0,Feminino,2024,7.690800000000001,Ametista,7.418,10.0,5.635,6.5,6.875,6.99,10.0,6.5,6.5,,0,,,0,Adequado,0.0
RA-1364,2024,0,9.0,Masculino,2024,7.570033333300001,Ametista,8.002,8.4166666665,7.51,8.75,6.875,6.99,5.0,9.5,8.0,,-1,,,0,Defasagem leve,0.0
RA-1365,2024,0,9.0,Masculino,2024,7.3700333333,Ametista,9.002,9.7916666665,6.26,6.5,6.875,6.99,5.0,5.5,7.5,,-1,,,0,Defasagem leve,0.0
RA-1366,2024,0,8.0,Feminino,2024,6.919852173900001,Agata,9.002,6.6032608695,7.51,6.5,7.5,6.99,5.0,6.5,6.5,,-1,,,0,Defasagem leve,0.0
RA-1367,2024,0,8.0,Feminino,2024,8.427286956500001,Topazio,10.0,8.3804347825,7.51,8.75,7.5,7.5,10.0,9.0,8.5,,0,,,0,Adequado,0.0
RA-1368,2024,0,8.0,Masculino,2024,8.6012,Topazio,7.002,10.0,7.51,9.5,7.5,7.5,10.0,10.0,9.0,,0,,,0,Adequado,0.0
RA-1369,2024,0,7.0,Feminino,2024,8.052286956500001,Topazio,8.502,8.6304347825,6.26,8.0,7.5,7.5,10.0,8.0,8.0,,0,,,0,Adequado,0.0
RA-137,2022,4,17.0,Feminino,2016,7.056,Ametista,7.5,8.9,5.0,7.3,,7.792,2.5,6.0,7.3,8.5,-3,0.0,0.0,1,Defasagem moderada/severa,6.0
RA-137,2023,5,17.0,Feminino,2016,5.937025,Quartzo,7.1,6.3,2.52,6.0,6.40625,6.88,5.0,7.3,4.5,6.2,-2,,,1,Defasagem moderada/severa,7.0
RA-137,2024,5,18.0,Feminino,2021,6.576761183366667,Agata,9.585,7.582972583,5.005,6.833333333333333,4.791666667,6.276666667,5.0,2.0,8.5,10.0,-2,,,1,Defasagem moderada/severa,3.0
RA-1370,2024,0,9.0,Masculino,2024,8.0456444444,Topazio,10.0,8.722222222,7.51,9.0,7.5,7.5,5.0,10.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1371,2024,0,11.0,Feminino,2024,6.4843521739,Agata,7.502,6.9782608695,7.51,4.5,6.875,7.5,5.0,3.0,6.0,,-1,,,0,Defasagem leve,0.0
RA-1372,2024,0,8.0,Feminino,2024,7.9632,Ametista,9.502,10.0,8.13,4.75,7.5,7.5,10.0,3.0,6.5,,0,,,0,Adequado,0.0
RA-1373,2024,0,9.0,Feminino,2024,7.577286956500001,Ametista,9.502,8.8804347825,7.51,6.75,7.5,7.5,5.0,6.0,7.5,,-1,,,0,Defasagem leve,0.0
RA-1374,2024,0,9.0,Masculino,2024,7.3707652174,Ametista,9.502,9.347826087,7.51,5.25,7.5,7.5,5.0,5.0,5.5,,-1,,,0,Defasagem leve,0.0
RA-1375,2024,0,9.0,Masculino,2024,8.101200000000002,Topazio,9.502,10.0,7.51,8.25,7.5,7.5,5.0,10.0,6.5,,-1,,,0,Defasagem leve,0.0
RA-1376,2024,0,9.0,Masculino,2024,8.2742769231,Topazio,9.002,9.6153846155,7.51,9.75,7.5,7.5,5.0,10.0,9.5,,-1,,,0,Defasagem leve,0.0
RA-1377,2024,0,8.0,Masculino,2024,7.8987,Ametista,9.002,10.0,8.13,5.5,6.875,6.99,10.0,5.0,6.0,,0,,,0,Adequado,0.0
RA-1378,2024,0,10.0,Feminino,2024,7.6703428571,Ametista,9.002,9.2857142855,8.13,6.75,7.5,7.5,5.0,7.5,6.0,,-1,,,0,Defasagem leve,0.0
RA-1379,2024,0,8.0,Masculino,2024,6.638292105300001,Agata,9.502,8.6842105265,3.755,7.25,5.9375,5.16,5.0,8.5,6.0,,-1,,,0,Defasagem leve,0.0
RA-138,2022,4,15.0,Masculino,2016,6.738,Agata,9.6,8.0,5.6,5.6,,6.375,5.0,5.0,6.5,5.2,-1,0.0,1.0,0,Defasagem leve,6.0
RA-138,2023,4,16.0,Masculino,2016,6.784075,Agata,10.0,7.9,6.26,4.3,7.34375,7.4175,5.0,4.0,3.7,5.2,-2,,,1,Defasagem moderada/severa,7.0
RA-138,2024,5,17.0,Masculino,2021,7.3860274169,Ametista,9.585,8.751803751666666,7.51,5.833333333333333,7.708333333,7.443333333,5.0,7.5,5.0,5.0,-2,,,1,Defasagem moderada/severa,3.0
RA-1380,2024,0,8.0,Masculino,2024,7.964342230600001,Ametista,9.502,8.784461152999999,4.385,8.0,7.1875,7.5,10.0,10.0,6.0,,0,,,0,Adequado,0.0
RA-1381,2024,0,8.0,Feminino,2024,9.038200000000002,Topazio,9.502,10.0,8.13,9.5,8.75,7.5,10.0,10.0,9.0,,0,,,0,Adequado,0.0
RA-1382,2024,0,9.0,Feminino,2024,7.834830952400001,Ametista,8.502,9.761904762,7.51,7.5,7.8125,7.5,5.0,8.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1383,2024,0,8.0,Feminino,2024,8.3720803259,Topazio,8.502,9.2606516295,7.51,8.5,7.1875,7.5,10.0,10.0,7.0,,0,,,0,Adequado,0.0
RA-1384,2024,0,10.0,Masculino,2024,6.221984461100001,Agata,8.002,7.5689223055,7.51,5.0,6.25,5.16,5.0,5.0,5.0,,-2,,,1,Defasagem moderada/severa,0.0
RA-1385,2024,0,8.0,Masculino,2024,7.7262,Ametista,10.0,10.0,4.385,8.0,6.875,7.5,5.0,9.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1386,2024,0,8.0,Feminino,2024,7.803580952400001,Ametista,9.002,9.761904762,7.51,7.25,7.5,7.5,5.0,8.5,6.0,,-1,,,0,Defasagem leve,0.0
RA-1387,2024,0,8.0,Feminino,2024,7.8030796992,Ametista,9.502,8.759398496,7.51,8.0,7.5,7.5,5.0,9.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1388,2024,0,8.0,Feminino,2024,7.015057142799999,Ametista,9.002,8.214285713999999,6.88,5.0,7.5,7.67,5.0,4.0,6.0,,-1,,,0,Defasagem leve,0.0
RA-1389,2024,0,7.0,Feminino,2024,8.980533333299999,Topazio,9.002,9.7916666665,6.88,10.0,7.5,8.42,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-139,2022,4,17.0,Masculino,2019,3.738,Quartzo,7.1,3.5,5.0,1.4,,3.917,2.5,1.7,2.7,0.0,-3,0.0,0.0,1,Defasagem moderada/severa,3.0
RA-1390,2024,0,7.0,Feminino,2024,8.4930333333,Topazio,9.502,9.7916666665,5.005,8.25,7.5,8.42,10.0,8.0,8.5,,0,,,0,Adequado,0.0
RA-1391,2024,0,7.0,Masculino,2024,8.8435333333,Topazio,8.502,9.2916666665,7.51,10.0,7.5,8.17,10.0,10.0,10.0,,0,,,0,Adequado,0.0
RA-1392,2024,0,9.0,Masculino,2024,5.4262,Quartzo,9.002,5.625,7.51,0.0,7.5,7.0,5.0,0.0,0.0,,-1,,,0,Defasagem leve,0.0
RA-1393,2024,0,7.0,Feminino,2024,7.2597,Ametista,9.502,7.5,3.755,5.0,7.5,8.42,10.0,10.0,0.0,,0,,,0,Adequado,0.0
RA-1394,2024,1,10.0,Feminino,2024,7.503255555500002,Ametista,9.502,8.6944444445,7.51,5.75,8.125,8.003333333,5.0,5.5,6.0,,-1,,,0,Defasagem leve,0.0
RA-1395,2024,1,9.0,Feminino,2024,8.5997833334,Topazio,9.502,10.0,7.51,7.75,7.8125,7.836666667,10.0,7.5,8.0,,0,,,0,Adequado,0.0
RA-1396,2024,1,11.0,Feminino,2024,7.8477,Ametista,9.502,10.0,7.51,6.5,8.125,7.67,5.0,6.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1397,2024,1,10.0,Feminino,2024,7.8280333334,Ametista,9.002,10.0,6.26,7.0,8.125,7.946666667,5.0,7.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1398,2024,1,11.0,Feminino,2024,7.989700527000001,Ametista,6.918,9.555335968,7.51,8.0,8.125,8.616666667,5.0,8.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1399,2024,1,11.0,Feminino,2024,7.438578787899999,Ametista,9.002,9.7727272725,5.005,6.0,7.5,8.166666667,5.0,6.0,6.0,,-1,,,0,Defasagem leve,0.0
RA-14,2022,7,21.0,Masculino,2022,6.793,Agata,7.9,8.3,7.5,4.0,,7.75,5.0,8.0,0.0,,-1,0.0,1.0,0,Defasagem leve,0.0
RA-14,2023,8,21.0,Masculino,2022,,,,,,,,,10.0,,,,0,,,0,Adequado,1.0
RA-14,2024,8,22.0,Masculino,2022,,,,0.0,,,,,10.0,,,,0,,,0,Adequado,2.0
RA-140,2022,4,14.0,Feminino,2021,7.407,Ametista,7.9,7.6,6.9,5.7,,7.667,10.0,5.0,6.5,5.6,0,0.0,1.0,0,Adequado,1.0
RA-1400,2024,1,9.0,Masculino,2024,7.622839525700001,Ametista,8.418,6.6501976285,7.51,7.25,7.5,7.5,10.0,6.5,8.0,,0,,,0,Adequado,0.0
RA-1401,2024,1,13.0,Masculino,2024,8.1188277778,Topazio,6.918,8.888888889,7.51,10.0,7.8125,8.085,5.0,10.0,10.0,,-2,,,1,Defasagem moderada/severa,0.0
RA-1402,2024,1,10.0,Feminino,2024,8.588040909100002,Topazio,10.0,9.5454545455,7.51,7.25,8.4375,8.17,10.0,7.0,7.5,,0,,,0,Adequado,0.0
RA-1403,2024,1,11.0,Feminino,2024,8.257421861500001,Topazio,9.002,9.3073593075,7.51,8.75,8.4375,8.255,5.0,7.5,10.0,,-1,,,0,Defasagem leve,0.0
RA-1404,2024,1,9.0,Feminino,2024,8.3971318182,Topazio,8.502,9.090909091,7.51,7.5,8.4375,8.17,10.0,6.0,9.0,,0,,,0,Adequado,0.0
RA-1405,2024,1,10.0,Feminino,2024,8.4749727273,Topazio,8.002,8.6363636365,7.51,8.75,8.125,8.17,10.0,8.0,9.5,,0,,,0,Adequado,0.0
RA-1406,2024,1,10.0,Feminino,2024,7.8186772727,Ametista,8.002,8.8636363635,7.51,7.5,8.4375,8.255,5.0,5.5,9.5,,-1,,,0,Defasagem leve,0.0
RA-1407,2024,1,10.0,Masculino,2024,7.546086363600001,Ametista,10.0,9.318181818,7.51,5.75,7.8125,7.5,5.0,5.5,6.0,,-1,,,0,Defasagem leve,0.0
RA-1408,2024,1,11.0,Masculino,2024,7.626768181800001,Ametista,10.0,8.409090909,7.51,6.75,8.4375,7.5,5.0,5.5,8.0,,-1,,,0,Defasagem leve,0.0
RA-1409,2024,1,10.0,Masculino,2024,7.863131818100001,Ametista,10.0,9.0909090905,7.51,7.25,8.4375,7.5,5.0,7.5,7.0,,-1,,,0,Defasagem leve,0.0
RA-141,2022,4,14.0,Masculino,2017,7.118,Ametista,9.2,8.2,5.6,5.7,,5.917,10.0,5.8,6.2,5.0,0,0.0,0.0,0,Adequado,5.0
RA-141,2023,4,15.0,Masculino,2017,6.719791667,Agata,9.6,8.4,5.63,4.5,7.03125,7.0425,5.0,6.0,5.3,2.3,-1,,,0,Defasagem leve,6.0
RA-1410,2024,1,11.0,Masculino,2024,7.5319272727,Ametista,9.002,8.1136363635,7.51,6.25,8.75,8.165,5.0,6.5,6.0,,-1,,,0,Defasagem leve,0.0
RA-1411,2024,1,11.0,Masculino,2024,6.886950000000001,Agata,9.002,9.5,6.26,2.75,8.4375,7.835,5.0,5.5,0.0,,-1,,,0,Defasagem leve,0.0
RA-1412,2024,1,10.0,Masculino,2024,9.2046718615,Topazio,10.0,9.3073593075,7.51,9.75,8.75,8.835,10.0,10.0,9.5,,0,,,0,Adequado,0.0
RA-1413,2024,1,12.0,Masculino,2024,7.747564718600001,Ametista,9.002,8.593073593,7.51,7.25,8.4375,7.92,5.0,7.5,7.0,,-2,,,1,Defasagem moderada/severa,0.0
RA-1414,2024,1,10.0,Feminino,2024,8.840007359300001,Topazio,9.502,9.2965367965,6.885,8.5,8.75,8.835,10.0,10.0,7.0,,0,,,0,Adequado,0.0
RA-1415,2024,1,10.0,Feminino,2024,7.3712454546,Ametista,8.002,9.7727272725,6.26,6.75,7.291666667,7.056666667,5.0,6.5,7.0,,-1,,,0,Defasagem leve,0.0
RA-1416,2024,1,12.0,Feminino,2024,7.375503030400001,Ametista,8.502,8.2765151515,7.51,7.75,7.916666667,6.386666667,5.0,6.5,9.0,,-1,,,0,Defasagem leve,0.0
RA-1417,2024,1,10.0,Masculino,2024,7.7436242424,Ametista,9.002,9.337121212,7.51,9.0,6.25,6.5,5.0,10.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1418,2024,1,11.0,Masculino,2024,7.7352909091000015,Ametista,8.502,9.128787879,7.51,8.25,7.916666667,6.833333333,5.0,8.5,8.0,,-1,,,0,Defasagem leve,0.0
RA-1419,2024,1,10.0,Feminino,2024,8.7536999999,Topazio,8.502,10.0,7.51,7.5,8.958333333,8.783333333,10.0,6.0,9.0,,0,,,0,Adequado,0.0
RA-142,2022,4,14.0,Feminino,2021,7.457,Ametista,6.7,8.6,5.6,6.3,,7.583,10.0,6.0,6.8,6.0,0,0.0,0.0,0,Adequado,1.0
RA-1420,2024,1,12.0,Masculino,2024,5.6558,Quartzo,7.918,5.520833333500001,6.26,4.5,6.458333333,5.44,5.0,5.0,4.0,,-2,,,1,Defasagem moderada/severa,0.0
RA-1421,2024,1,11.0,Masculino,2024,7.126922222200001,Ametista,9.002,6.777777778,7.51,7.5,6.875,7.163333333,5.0,8.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1422,2024,1,11.0,Feminino,2024,7.0132,Ametista,9.502,7.5,7.51,4.75,8.125,7.7475,5.0,0.0,9.5,,-1,,,0,Defasagem leve,0.0
RA-1423,2024,1,11.0,Masculino,2024,6.403450000000001,Agata,8.502,5.3125,7.51,5.75,7.8125,6.5425,5.0,4.0,7.5,,-1,,,0,Defasagem leve,0.0
RA-1424,2024,1,12.0,Feminino,2024,7.5543388889,Ametista,9.002,8.9444444445,7.51,7.25,7.8125,6.915,5.0,7.5,7.0,,-1,,,0,Defasagem leve,0.0
RA-1425,2024,1,12.0,Masculino,2024,6.8290988095000005,Agata,9.002,6.7976190475,7.51,7.0,7.34375,5.92,5.0,6.0,8.0,,-1,,,0,Defasagem leve,0.0
RA-1426,2024,1,11.0,Feminino,2023,5.8367476190000005,Quartzo,9.502,5.845238095,7.51,2.75,7.5,5.8325,5.0,5.5,0.0,,-1,,,0,Defasagem leve,1.0
RA-1427,2024,1,11.0,Feminino,2024,8.425325,Topazio,9.502,10.0,7.51,8.0,8.90625,8.6675,5.0,6.5,9.5,,-1,,,0,Defasagem leve,0.0
RA-1428,2024,1,10.0,Masculino,2024,8.006108496800001,Topazio,8.502,8.8562091505,7.51,8.0,9.166666667,8.085,5.0,7.0,9.0,,-1,,,0,Defasagem leve,0.0
RA-1429,2024,1,11.0,Masculino,2024,8.041811111100001,Topazio,9.502,8.888888889,7.51,7.75,8.958333333,8.085,5.0,8.5,7.0,,-1,,,0,Defasagem leve,0.0
RA-143,2022,4,13.0,Masculino,2019,8.638,Topazio,8.3,9.9,5.6,7.9,,9.5,10.0,9.7,7.7,6.4,1,1.0,0.0,0,Adiantado,3.0
RA-143,2023,5,,Masculino,2019,7.794358333,Ametista,8.3,9.6,2.52,6.5,8.28125,8.3375,10.0,9.2,5.0,5.2,1,,,0,Adiantado,4.0
RA-143,2024,7,15.0,Masculino,2021,7.449366666666667,Ametista,10.0,9.92,6.885,2.6333333333333333,7.5,7.5,10.0,0.0,0.0,7.9,2,,,0,Adiantado,3.0
